1	1141230024	9	1965
1	1173978588	67	5066
1	1226385966	40	3204
1	1227483489	27	7458
1	1210448137	3	1632
1	1217388853	41	1065
1	1220999052	23	816
17	1148119201	44	977
17	1207866800	83	787
17	1210512274	88	685
17	1218753405	48	1927
17	1221444841	61	5666
17	1202088778	1	822
17	1208387952	5	1185
17	1221874217	41	1072
17	1192008720	45	673
36	1226411583	27	805
36	1208358122	57	817
36	1217425349	60	718
36	1216611288	6	1980
36	1206716269	87	720
36	1224338423	48	1772
36	1224950259	54	678
36	1171033926	117	1459
36	1217497724	34	5088
36	1211413007	83	796
56	1202517968	86	931
56	1210768755	15	2594
56	1208056408	37	741
56	1221583332	46	2964
56	1211855929	38	963
56	1207131300	87	1286
56	1221188179	45	1116
56	1208609206	77	1038
72	1224910478	30	2052
72	1218045439	55	1764
72	1212196124	33	835
72	1220171828	28	2002
72	1159976016	27	1110
72	1214171089	43	2248
72	1217971708	73	1205
72	1203633643	4	681
72	1206710326	23	1533
72	1222320652	50	2644
72	1218004932	4	892
89	1206346800	5	841
89	1220750132	68	747
89	1204722763	27	833
89	1215075952	40	680
89	1215331315	2	1491
89	1221566652	4	3598
108	1216814849	65	786
108	1207040924	59	973
108	1212641147	70	891
108	1205957302	2	731
108	1209349192	85	855
108	1217142523	60	1619
108	1220036998	59	1321
108	1224262644	25	1391
108	1222837328	85	1251
108	1212511732	5	1130
108	1209357498	79	845
129	1210078155	2	911
129	1217160773	42	1839
129	1222730305	13	2711
129	1227285565	21	5611
129	1205514589	86	1127
129	1211848800	74	1199
129	1198559153	61	594
129	1213670522	40	1647
129	1225881210	26	1077
129	1217512285	10	1573
129	1170297032	30	6502
142	1223057515	43	1573
142	1230560579	50	716
142	1174675599	110	844
142	1219896747	13	3357
142	1210158939	22	1703
142	1208569583	56	678
142	1202105217	72	665
142	1209600041	83	855
142	1215125571	73	908
142	1217995636	38	1664
161	1209287549	74	1112
161	1218055860	27	920
161	1200478131	82	1039
161	1204557212	65	909
161	1223557054	52	1593
161	1211188940	58	670
161	1208803159	76	1062
161	1201565292	89	1074
161	1219025175	53	717
161	1211855249	74	1123
161	1219105774	4	2876
161	1209924653	90	1151
161	1204028932	80	748
161	1204076325	14	752
161	1215097610	40	1547
161	1169600300	44	954
161	1221380988	29	2170
177	1224822443	49	1287
177	1141629538	2	950
177	1216572170	35	1022
177	1210081878	79	869
177	1220370986	59	1867
177	1204730998	55	710
177	1217333811	48	1190
177	1213374853	9	2313
177	1195377187	57	824
191	1217916110	1	760
191	1209423805	3	667
191	1202157271	97	954
191	1198417953	82	680
191	1208998173	71	770
191	1162061585	25	3208
191	1175343368	42	1019
191	1224837204	2	2132
191	1168742812	40	4892
191	1211092384	47	938
191	1206495558	81	802
191	1217318085	32	2198
207	1226159509	40	918
207	1220998225	2	1326
207	1181200941	69	2434
207	1217204823	73	880
207	1208142271	48	667
207	1218619660	35	1439
207	1218141192	59	787
218	1212127247	54	3220
218	1206319645	90	991
218	1142865435	2	1358
218	1228987812	44	1140
218	1201352427	85	780
218	1226593504	5	3646
218	1201554877	4	3399
218	1201954528	4	1230
218	1224839612	55	957
218	1149973820	2	1705
218	1208239651	54	714
218	1203276845	81	667
218	1219804874	53	1083
235	1235953579	11	1037
235	1202284685	4	5162
235	1201947256	83	1040
235	1222048636	61	852
235	1161781198	66	882
235	1209366415	79	941
235	1202285184	81	902
235	1158142450	5	2619
235	1212669999	76	1113
235	1213868395	4	1141
255	1200179613	59	1186
255	1208055871	2	1641
255	1219318753	53	5842
255	1211501859	45	1179
255	1208648461	2	2012
255	1143985872	41	649
255	1205353583	4	924
255	1197535406	1	843
255	1231170300	69	3974
279	1222425408	75	1921
279	1199317859	62	693
279	1225313894	46	1128
279	1219507007	53	827
279	1206656755	52	1048
279	1170267302	37	1565
279	1206833417	79	745
291	1223288014	22	5410
291	1158996767	4	1498
291	1229863983	30	3116
291	1142146010	5	2195
291	1209839892	42	598
291	1198578279	77	1080
291	1216416129	41	950
291	1209973871	8	1477
291	1204467634	65	793
291	1204063771	5	594
291	1224846006	45	3683
291	1209303226	33	829
306	1213390736	83	870
306	1219832617	96	1624
306	1205344420	83	1378
306	1220318309	52	691
306	1207383918	4	1515
306	1207958405	53	781
306	1203525209	2	1378
306	1217604627	67	1688
306	1221808290	1	1789
306	1219474247	57	946
306	1205797522	61	694
306	1207382095	2	882
322	1218209135	63	3708
322	1145410324	7	1562
322	1223957229	38	1260
322	1220480750	2	2965
322	1224075200	24	1693
322	1199592180	80	1497
322	1222013168	64	1333
345	1221392265	44	2010
345	1202588431	52	789
345	1229232913	42	761
345	1208128399	4	1063
345	1226783352	2	6499
345	1204886873	72	1122
345	1220421346	21	2062
345	1211133115	11	2457
345	1218321756	4	832
368	1199691119	70	646
368	1210542764	2	759
368	1221668361	46	2022
368	1165940998	44	1626
368	1221652547	10	1145
368	1215606806	57	1275
368	1168061903	82	806
368	1221890906	52	957
368	1231470347	54	1676
368	1221682133	49	2439
368	1214589865	72	682
385	1207835983	43	1246
385	1211825031	45	821
385	1216206079	25	690
385	1195426059	83	803
385	1211103675	80	767
385	1219525214	47	5783
403	1210644984	78	1245
403	1165019029	46	832
403	1217451622	30	1838
403	1217912455	30	1971
403	1219940028	48	1186
403	1210812843	84	1302
403	1216691030	48	798
403	1218083472	31	910
403	1213682586	3	3022
403	1202632878	2	1002
403	1200831719	77	1090
403	1216576146	64	962
403	1217979006	31	1267
419	1214805249	37	659
419	1211886706	50	884
419	1221562983	41	1902
419	1215368105	4	3625
419	1219403857	10	2303
419	1207084341	54	1910
419	1214658440	45	1746
419	1220766059	25	1402
419	1211274178	43	788
419	1212505769	3	832
419	1136328156	2	1356
435	1206456532	83	1248
435	1221623121	41	2679
435	1224409726	28	6269
435	1181614651	73	1195
435	1225557854	13	3940
435	1216552522	48	2031
435	1209893164	58	1048
435	1226012343	87	1416
435	1200256169	59	989
435	1211517706	33	951
435	1208721119	85	924
447	1222477286	62	1594
447	1210781642	86	1482
447	1213979288	4	840
447	1190528520	54	614
447	1225201854	2	4697
447	1214783392	70	749
447	1218765006	73	2051
447	1201691872	4	677
447	1220619079	40	2221
447	1211776930	72	694
465	1217600782	62	1656
465	1208017041	95	750
465	1175946152	54	1101
465	1213880213	3	1227
465	1208017255	8	868
465	1205275434	2	1308
465	1200645213	81	711
465	1149916368	6	1292
465	1148887417	2	653
465	1218301664	40	1418
465	1165142668	51	1861
465	1222925880	44	948
481	1215175943	72	760
481	1211995576	80	1207
493	1220384073	49	1263
493	1224452119	41	1985
493	1205232928	4	625
493	1217863388	12	1333
493	1201168079	63	711
493	1223419038	53	3497
509	1173947485	52	3983
509	1213653914	74	765
509	1221276839	48	1815
509	1216810219	37	1395
509	1205427943	56	720
509	1148628356	3	2838
509	1138979383	8	1919
509	1222678690	5	1469
509	1201161565	98	1803
509	1222786670	65	1870
509	1217619357	59	1119
509	1211242617	88	606
534	1220319940	33	1367
534	1208197476	79	969
534	1200657333	77	614
534	1223300462	14	1928
534	1220103307	28	1019
534	1219810641	3	968
534	1203575386	93	1017
534	1156342887	6	3004
534	1208046604	12	1056
554	1218958497	27	1508
554	1212249053	51	1017
554	1224316472	16	1216
554	1209666802	83	1195
554	1223365655	58	711
