0 0 1	11	92	3	1.43027	2.46658	185125	119417	2
0 0 1	8	69	3	1.34077	2.63362	197289	98785.3	2
0 1 1	3	105.5	2	-1.30388	-inf	8683.46	10243.1	2
0 0 2	6	57.5	3	1.33563	2.82874	132488	66191.2	3
0 0 2	6	37	2	1.40587	3.56182	40174.8	26726	2
0 1 2	7	69	2	1.50972	2.60651	206870	137271	2
0 0 3	14	116.5	3	1.23777	2.10165	508397	254355	2
0 1 3	3	100.5	2	-3.83427	-inf	56557.6	60236.4	2
0 1 4	2	78	1	-inf	-inf	124100	248110	1
0 0 5	10	58	3	1.47539	3.41526	109798	54893.4	2
0 1 5	3	115.5	2	-1.50141	-inf	15335.1	17865.2	2
0 0 6	6	64.5	3	1.18696	2.92151	106574	53244.6	3
0 0 6	7	75	3	1.28035	4.11076	247936	163360	2
0 0 6	7	64	2	1.18142	1.75066	124998	72874.9	2
0 1 6	11	107	3	1.30925	1.57585	165857	80848.2	3
0 0 7	8	51.5	3	1.37593	2.37285	116882	58234.5	3
0 0 7	11	69.5	2	1.51657	2.68171	154883	101778	2
0 1 7	3	90	2	-6.49344	-inf	185582	192721	2
0 0 8	82	63.5	3	13.0261	123.426	4341.8	308.196	2
0 1 8	3	83	2	-0.871105	-inf	23844.4	30502.2	2
0 0 9	6	35	2	3.83737	4.06104	724.988	295.928	2
0 1 9	3	112.5	2	-27.7552	-inf	186744	188422	2
1 0 10	21	67.5	1	4.85271	4.85271	3974.56	1101.1	2
0 1 10	3	103.5	2	-1.41991	-inf	11083.2	13011	2
0 1 11	10	114	2	1.36294	2.37544	454848	302194	2
0 0 12	6	40	2	1.21886	1.47159	51713.6	25956.8	2
0 1 12	10	129.5	3	1.10748	1.71776	731392	365303	3
0 0 13	49	115	3	1.38892	2.83159	642774	318524	3
0 0 13	6	41	2	1.235	2.11549	81997.7	54463.3	2
0 0 13	9	61.5	3	1.15869	1.5206	161054	79992.2	2
0 1 13	2	70.5	1	-inf	-inf	4008.49	8014.74	1
0 0 14	10	81.5	3	1.27319	2.51699	229903	115238	2
0 0 14	6	53	3	1.10784	2.31187	109801	54855.1	3
0 0 14	5	32.5	2	1.66354	2.36763	28743.1	28654.7	2
0 0 14	6	33	2	1.33811	2.62825	46732.1	31132.5	2
0 0 14	7	64.5	3	1.18911	2.36428	199034	99450.4	3
0 0 14	8	80.5	3	1.26753	2.42138	149930	74842.1	3
0 0 14	6	47	3	1.09625	2.14906	64492.4	32216.1	3
0 1 14	8	81	3	1.08185	2.30142	369493	184665	3
0 1 15	3	81	2	-2497.15	-inf	480549	480594	2
0 0 16	16	64	2	1.41947	1.708	207257	102408	2
0 0 16	22	116	3	1.49451	2.72799	610467	303866	2
0 1 16	2	50	1	-inf	-inf	762.172	1515.72	1
0 0 17	8	85.5	3	2.53051	-2.88473	137409	89795.1	2
0 0 17	6	68.5	2	1.25276	2.21832	120445	79711.6	2
0 0 17	25	180	3	1.36145	2.6924	1.30083e+06	649262	2
0 1 17	3	85	2	-inf	-inf	669.463	667.117	1
0 1 18	3	199.5	2	-7.36658	-inf	190366	196808	2
0 0 19	6	43	3	1.27228	5.64221	86113.9	43036.6	3
0 1 19	3	108.5	2	-1.32852	-inf	15707.7	18586.6	2
0 1 20	3	94	2	-56.9614	-inf	163825	164466	2
0 1 21	3	104.5	2	-1.96037	-inf	58816	66257.5	2
0 0 22	13	101.5	3	1.38346	2.4324	415785	207612	2
0 0 22	6	40.5	3	1.19789	2.64822	76775.2	38355.6	3
0 0 22	8	56.5	2	1.33583	1.67946	108796	54476	2
0 0 22	7	58.5	2	1.53515	2.93758	102276	67730.4	2
0 0 22	6	49.5	2	1.21804	2.01644	92772.8	61338.8	2
0 0 22	16	107.5	2	1.30648	2.04738	534198	354108	2
0 0 22	14	91	3	1.49241	2.72872	339545	169186	2
0 0 22	9	63.5	2	1.38065	2.29702	241734	120728	3
0 1 22	9	56	2	1.59362	3.045	93269.2	61645	2
0 0 23	7	56.5	2	1.65888	2.019	4883.44	2290.35	2
0 0 23	61	129.5	3	2.48123	31.1591	545266	354546	2
0 1 23	3	108.5	2	23.6372	-inf	401.312	396.415	1
0 0 24	8	67.5	2	1.46751	2.27268	97747.4	62552.4	2
0 1 24	2	73.5	1	-inf	-inf	16960	33913.7	1
0 0 25	6	46	2	1.1535	2.06365	96626.3	48294.7	2
0 0 25	60	139	2	2.38852	-80.913	583129	341585	2
0 0 25	7	45	3	1.22405	2.21531	75134	37445.8	3
0 1 25	2	48	1	-inf	-inf	657.185	1306.71	1
0 0 26	10	63	3	1.41449	4.59205	226932	113276	3
0 0 26	12	85.5	2	1.41275	2.43791	241001	159164	2
0 0 26	11	75.5	2	1.42655	1.87755	204499	134630	2
0 1 26	8	82	3	1.14378	2.64105	343001	171407	3
0 0 27	6	41.5	1	2.31818	2.31818	2756.87	1365.46	2
0 1 27	2	77.5	1	-inf	-inf	126304	252474	1
0 1 28	38	95.5	3	1.5854	4.81997	364646	180909	2
0 0 29	6	66	3	1.12335	2.11803	95967.6	47841.1	3
